gene,-40_ura3_A,-40_ura3_B,-20_ura3_A,-20_ura3_B,0_ura3_A,0_ura3_B,10_ura3_A,10_ura3_B,20_ura3_A,20_ura3_B,20_ura3_B.1,40_ura3_A,40_ura3_B,60_ura3_A,60_ura3_B,80_ura3_A,80_ura3_B,-40_0258_A,-40_0258_B,-20_0258_A,-20_0258_B,0_0258_A,0_0258_B,10_0258_A,10_0258_B,20_0258_A,40_0258_A,40_0258_B,60_0258_A,60_0258_B,80_0258_A,80_0258_B
VNG0040C,-0.065150337,-0.013159652,0.007577683,-0.02741217,0.026858809,-0.013451858,-0.01188498,-0.082281004,-0.078268111,-0.001737865,0.058726458,0.048311738,0.006672843,0.036244259,-0.065335623,0.039993351,0.055960173,0.082123075,0.065298959,0.022632153,-0.033121393,-0.00963804,-0.124332651,-0.123541183,-0.036184364,-0.021602268,-0.051044212,0.013524532,0.034006842,-0.03014002,0.02016417,0.058835385
VNG0041C,0.13200396,-0.005317308,-0.096484814,-0.036190567,-0.075331714,0.018155307,0.001285038,-0.021893015,0.008554884,0.062151602,-0.02971586,-0.041683115,0.032622904,0.043761788,0.050807991,0.065810811,-0.10770138,0.049452834,0.017759516,0.082528422,-0.037355763,-0.012902815,0.004919697,-0.123535673,-0.173324268,0.034673071,-0.103954222,0.027354814,0.089238616,0.06441374,0.101408709,0.012637877
VNG0042G,-0.189605361,-0.008588276,-0.061307701,0.061243487,-0.090487845,-0.00692276,0.045059685,-0.137090661,0.000138872,0.073246067,-0.037614966,0.01673363,-0.043814579,0.02639769,0.023817363,0.12897998,-0.162479171,0.18597768,0.058617418,0.081923807,-0.282369361,-0.127643678,-0.129803179,-0.231270437,-0.270011275,0.097678449,-0.073174262,0.02080777,0.12445495,0.025973551,0.124954058,0.139017262
VNG0043H,-0.093554909,-0.078433938,-0.019445939,-0.053991368,-0.011443076,-0.084321534,-0.003554477,-0.054390411,-0.055075422,0.007746057,0.037669474,0.005054231,0.189113923,-0.018171093,0.126572352,0.000675411,-0.018918583,-0.006972577,-0.148867041,-0.022593245,-0.053113284,-0.13640878,-0.08067048,-0.120375878,-0.051403983,-0.057032749,-0.036068107,0.090296722,0.148717954,0.28691888,0.067380105,0.235733459
VNG0045C,0.338614998,0.203228827,0.066750885,-0.386676356,-0.047283145,0.211689026,0.175166886,0.156917551,0.653062334,-0.347705587,-0.189728571,1.087629515,0.373962549,0.869203074,0.448025392,0.41065006,0.871176448,-0.550739961,-0.363116503,-0.141064482,0.34303753,0.554032922,0.399606656,0.694345726,0.82733564,-0.284168435,-0.334853276,-0.810354038,-0.850943199,-1.091726727,-1.019897988,-1.462843365
VNG0046G,-0.198247482,-0.04673265,-0.0318129,0.029775636,-0.00315814,-0.100420286,-0.037163148,-0.07702834,-0.161074172,0.155582397,0.01125822,0.073377915,0.003418493,-0.037346151,0.12592039,0.090119224,-0.125742736,0.025509957,0.11813008,0.005998,-0.033667733,-0.165848809,-0.18814815,-0.1034831,-0.175747268,-0.008866028,-0.049200444,0.006963036,0.06118419,0.110578299,0.037455387,0.154504364
VNG0047G,0.413006003,0.236858396,0.238974638,0.120251742,0.064541546,0.174129729,-0.040655806,0.062738499,0.176971873,-0.208169045,0.015427012,-0.319525637,-0.229046079,-0.482214587,-0.265164524,-0.558430478,-0.165886675,-0.149601728,-0.051459995,0.110380554,0.424424941,0.130897826,0.296226321,0.031293802,0.209442026,-0.219320394,-0.018689682,-0.192002809,-0.109848908,-0.188183937,-0.277407339,-0.34593298
VNG0049H,-0.182132021,-0.041960264,-0.051278912,-0.068758057,0.020593182,-0.120200594,-0.101441046,-0.14147068,-0.140667817,0.106505164,0.018376172,0.031656951,0.135805491,-0.064097409,-0.004333685,0.07682074,0.075861279,0.008903619,-0.067321267,-0.100844325,-0.07818281,-0.246356075,-0.216112723,-0.175593379,0.038162331,-0.053140913,-0.036302425,-0.075023666,0.206730703,0.195179333,0.114513985,0.167392654
VNG0050C,0.173630482,0.269984388,0.060859582,0.059423031,0.08532291,0.404690006,0.339388058,0.43281132,0.497786412,0.262051984,0.034133838,-0.076521826,-0.38157432,-0.407787745,-0.254451251,-0.476393867,-0.627337689,0.39250444,0.226157497,0.393430952,0.401643589,0.719849696,0.214656156,0.844890753,0.575857938,0.71967376,0.548531496,0.615335058,0.483421137,0.096925587,0.385874986,0.650861348
VNG0051G,-0.082222988,-0.005856792,-0.104426577,0.001696451,0.014348298,-0.023887452,-0.061680238,-0.091898299,-0.080497418,0.143124714,0.034908052,-0.023633163,0.121132702,-0.033802279,0.009393937,0.049268646,0.11824812,0.047303228,-0.022702697,-0.099751099,-0.024887693,-0.107399411,-0.084034286,-0.055755855,-0.040064064,-0.012967766,0.023960429,-0.015781451,0.01720725,0.07470941,-0.023543263,0.08944058
